01-ott-08;962550.24;656998.11;690183.54;261962.49;392546.86;3524890.51
01-set-08;963105.34;654979.31;687832.05;261715.41;391326.35;3525772.7
01-ago-08;963218.92;653283.21;681885.71;259369.27;385540.06;3506626.8
01-lug-08;962796.2;651508.39;679059.57;258581.74;382751.09;3494763.06
01-giu-08;962159.72;648319.72;670467.95;256259.47;379029.26;3475834.26
01-mag-08;962239.18;646543.08;663153.97;257164.76;384350.32;3489284.39
1-Apr-2008;962265.27;642947.45;660095.26;256590.25;383531.95;3476465.18
1-Mar-2008;962903.98;638070.42;658172.91;259955.07;382864.65;3470029.8
01-feb-08;964312.41;634430.53;653244.65;268324.68;381067.56;3465826.33
01-gen-08;965151.47;629977.37;647830.77;266134.73;379246.92;3449663.17
01-dic-07;967492.77;626573.55;643142.48;265560.68;379015.21;3429454.24
1-Nov-2007;968952.43;624312.43;636254.2;268452.17;374025.99;3416882.05
01-ott-07;968744.43;618530.69;630574.74;266712.71;373560.74;3397312.26
01-set-07;969862.26;612786.1;625162.74;263073.02;378369.87;3383202.29
01-ago-07;969230.13;608065.94;619089.67;260432.7;379810.77;3364814.21
01-lug-07;968595.16;605210.21;613634.42;258771.29;380572.84;3349355.42
01-giu-07;970016.58;596619.9;605984.3;254564.53;377249.29;3327012.68
01-mag-07;969211.73;587322.98;597242.93;251647.35;379903.41;3303862.12
1-Apr-2007;970157.21;580258.5;590842.82;247851.61;377057.44;3278430.58
1-Mar-2007;971999.53;573826.75;586755.11;249273.56;375519.57;3265288.91
01-feb-07;972492.05;563407.69;580171.37;249324.78;374966.72;3244259.02
01-gen-07;973114.27;556586.48;575197.26;246233.51;372441.74;3222785.88
01-dic-06;976123.76;551506.57;569975.72;244409.2;369642.81;3203783.62
1-Nov-2006;975870.4;541907.11;561757.97;243628.6;369517.8;3181787.37
01-ott-06;975304.93;532268.8;556973.39;239784.57;370495.74;3157412.3
01-set-06;975100.66;525856.5;552022.69;239472.56;371183.14;3139698.71
01-ago-06;972965.24;518887.85;545322.51;236055.39;370797.23;3115003.96
01-lug-06;971094.85;513797.61;540102.52;237245.28;371257.81;3101021.4
01-giu-06;969945;504535.9;531165.69;232636.21;371098.61;3071750.6
01-mag-06;968901.76;494211.78;521380.53;229592.93;371396.77;3043160.67
1-Apr-2006;968459.69;484786.06;516578.22;228576.22;368250.32;3018188.03
1-Mar-2006;968337.64;477449.15;512360.98;225334.97;363975.91;2993985.48
01-feb-06;968246.54;466591.71;505607.96;220805.07;359990.86;2957566.91
01-gen-06;967706.54;458371.04;500416.86;217410.57;362698.76;2937507.45
01-dic-05;961186.38;450982.97;495105.06;217221.71;361198.48;2911593.92
1-Nov-2005;959266.39;439350.02;485854.61;213649.29;364722.29;2881533.64
01-ott-05;956604.66;430228.14;480439.8;210348.18;364823.89;2856029.48
01-set-05;955216.63;421193.19;477642.75;206984.13;356937.12;2824519.94
01-ago-05;953105.07;412792.37;472282.85;205287.36;355763.51;2799801.94
01-lug-05;951271.37;407706.83;467564.35;204168.87;351760.32;2777638.15
01-giu-05;948569.53;397093.84;459740.2;199600.13;347966.79;2742016.38
01-mag-05;947275.05;365698.23;451683.2;196135.87;344244.93;2686138.27
1-Apr-2005;946620.74;359958.04;447095.9;192112.94;341012.42;2662188.03
1-Mar-2005;946567.47;353692.4;443843.1;188703.82;337829.82;2640262.57
01-feb-05;946710.05;348497.68;439132.64;188233.24;334794.06;2621939.49
01-gen-05;947170.23;342175.52;435911.61;186444.57;334672.25;2607098.2
01-dic-04;949457.98;335665.34;432396.62;185016.06;331742.38;2591495.02
1-Nov-2004;948440.92;329263.44;427902.85;181760.93;329712.42;2572078.03
01-ott-04;947774.72;322960.86;425270.89;179000.8;327571.4;2554051.82
01-set-04;946700.29;316791.9;422246.64;175844.43;325065.53;2533580.22
01-ago-04;942649.02;310738.63;418606.51;173300.91;321043.01;2507979.08
01-lug-04;940461.97;306802.7;415171.08;172489.76;318126.11;2490989.66
01-giu-04;938066.07;303232.35;408458.81;168231.31;314908.15;2463756.29
01-mag-04;933558.13;300533.8;402052.52;165881.36;314142.79;2439564.02
1-Apr-2004;932197.44;295258.01;398443.26;163333.78;311314.54;2419220.9
1-Mar-2004;931475.32;290334.45;395548.69;160120.06;308837.82;2400248.6
01-feb-04;935607.47;284541.77;391408.44;158296.44;305832.08;2384915.35
01-gen-04;936871.34;280389.18;388593.92;155778.18;304665.09;2372606.5
01-dic-03;937379.02;277573.29;385078.11;154374.25;302392.96;2360453.05
1-Nov-2003;935754.76;275020.58;380238.41;152087.99;299003.64;2342876.39
01-ott-03;933729.31;270471.03;378256.8;150837.93;296623.14;2328927.93
01-set-03;930259.28;265990.31;375041.54;147686.3;295621.18;2310283.35
01-ago-03;928684.24;264897;371047.23;145214.6;299141.25;2300340.4
01-lug-03;926521.59;261996.84;368154.84;144457.48;296793.1;2285513.85
01-giu-03;924700.89;257531.99;362184.98;141114.68;293522.8;2262745.11
01-mag-03;923697.12;254067.11;358873.44;140476.75;292755.8;2249880.13
1-Apr-2003;921416.86;250239.63;357467.38;137723.55;291159.36;2235138.83
1-Mar-2003;921356.69;245865.21;355351.88;136956.42;289711.74;2224711.91
01-feb-03;914664.88;242451.15;353173.25;134721.87;287888.8;2205513.72
01-gen-03;913276.76;239000.3;351330.82;132366.3;285393.87;2192216.02
